log,backbone,Setting,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)",Dataset,Backbone_pretty
BPI20PrepaidTravelCosts,gptneo-1b3,FewShot-Freezing,1315749922.0,174114.0,0.01323306177630919,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,FewShot-LoRA,1366081570.0,50505762.0,3.697126372914906,3.7%,1.4e+09,1.4e+09 (3.7%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,Freezing,1315749922.0,174114.0,0.01323306177630919,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,"Freezing-[-1, -2]",1315749922.0,100878370.0,7.666986584096487,7.7%,1.3e+09,1.3e+09 (7.7%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,Freezing-[-1],1315749922.0,50526242.0,3.840109822936398,3.8%,1.3e+09,1.3e+09 (3.8%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,"Freezing-[0, 1]",1315749922.0,100878370.0,7.666986584096487,7.7%,1.3e+09,1.3e+09 (7.7%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,Freezing-[0],1315749922.0,50526242.0,3.840109822936398,3.8%,1.3e+09,1.3e+09 (3.8%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,LoRA,1340915746.0,25339938.0,1.8897487090885425,1.9%,1.3e+09,1.3e+09 (1.9%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gptneo-1b3,ZeroShot,1315749922.0,174114.0,0.01323306177630919,0.0%,1.3e+09,1.3e+09 (0.0%),BPI20PTC,GPT-Neo-1.3B
BPI20PrepaidTravelCosts,gpt2,FewShot-Freezing,124505122.0,65314.0,0.052458885988642304,0.1%,1.2e+08,1.2e+08 (0.1%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,FewShot-LoRA,162253858.0,37814050.0,23.30548590098856,23.3%,1.6e+08,1.6e+08 (23.3%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,Freezing,124505122.0,65314.0,0.052458885988642304,0.1%,1.2e+08,1.2e+08 (0.1%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,"Freezing-[-1, -2]",124505122.0,14241058.0,11.438130232104026,11.4%,1.2e+08,1.2e+08 (11.4%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,Freezing-[-1],124505122.0,7153186.0,5.745294559046334,5.7%,1.2e+08,1.2e+08 (5.7%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,"Freezing-[0, 1]",124505122.0,14241058.0,11.438130232104026,11.4%,1.2e+08,1.2e+08 (11.4%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,Freezing-[0],124505122.0,7153186.0,5.745294559046334,5.7%,1.2e+08,1.2e+08 (5.7%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,LoRA,162253858.0,37814050.0,23.30548590098856,23.3%,1.6e+08,1.6e+08 (23.3%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gpt2,ZeroShot,124505122.0,65314.0,0.052458885988642304,0.1%,1.2e+08,1.2e+08 (0.1%),BPI20PTC,GPT2
BPI20PrepaidTravelCosts,gemma-2-2b,FewShot-Freezing,2614537762.0,437794.0,0.01674460420357853,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,FewShot-LoRA,2946805282.0,332463394.0,11.28216363771266,11.3%,2.9e+09,2.9e+09 (11.3%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,Freezing,2614537762.0,437794.0,0.01674460420357853,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,"Freezing-[-1, -2]",2614537762.0,156151330.0,5.9724258822925345,6.0%,2.6e+09,2.6e+09 (6.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,Freezing-[-1],2614537762.0,78294562.0,2.9945852432480566,3.0%,2.6e+09,2.6e+09 (3.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,"Freezing-[0, 1]",2614537762.0,156151330.0,5.9724258822925345,6.0%,2.6e+09,2.6e+09 (6.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,Freezing-[0],2614537762.0,78294562.0,2.9945852432480566,3.0%,2.6e+09,2.6e+09 (3.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,LoRA,2697604642.0,83262754.0,3.086543991793739,3.1%,2.7e+09,2.7e+09 (3.1%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,gemma-2-2b,ZeroShot,2614537762.0,437794.0,0.01674460420357853,0.0%,2.6e+09,2.6e+09 (0.0%),BPI20PTC,Gemma-2-2B
BPI20PrepaidTravelCosts,llama32-1b,FewShot-Freezing,1235988514.0,241698.0,0.019555036091540894,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,FewShot-LoRA,1416343586.0,180529186.0,12.746143505323149,12.7%,1.4e+09,1.4e+09 (12.7%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,Freezing,1235988514.0,241698.0,0.019555036091540894,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,"Freezing-[-1, -2]",1235988514.0,121876514.0,9.860651018962463,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,Freezing-[-1],1235988514.0,61059106.0,4.940103027527002,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,"Freezing-[0, 1]",1235988514.0,121876514.0,9.860651018962463,9.9%,1.2e+09,1.2e+09 (9.9%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,Freezing-[0],1235988514.0,61059106.0,4.940103027527002,4.9%,1.2e+09,1.2e+09 (4.9%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,LoRA,1416343586.0,180529186.0,12.746143505323149,12.7%,1.4e+09,1.4e+09 (12.7%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,llama32-1b,ZeroShot,1235988514.0,241698.0,0.019555036091540894,0.0%,1.2e+09,1.2e+09 (0.0%),BPI20PTC,Llama3.2-1B
BPI20PrepaidTravelCosts,majority,,1.0,1.0,100.0,100.0%,1.e+00,1.e+00 (100.0%),BPI20PTC,Majority
BPI20PrepaidTravelCosts,qwen25-05b,FewShot-Freezing,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,FewShot-LoRA,634880290.0,140847522.0,22.184894415292057,22.2%,6.3e+08,6.3e+08 (22.2%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,Freezing,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,"Freezing-[-1, -2]",494108962.0,29941282.0,6.059651676587077,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,Freezing-[-1],494108962.0,15030690.0,3.0419788257149647,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,"Freezing-[0, 1]",494108962.0,29941282.0,6.059651676587077,6.1%,4.9e+08,4.9e+08 (6.1%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,Freezing-[0],494108962.0,15030690.0,3.0419788257149647,3.0%,4.9e+08,4.9e+08 (3.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,LoRA,564494626.0,70461858.0,12.482290309704384,12.5%,5.6e+08,5.6e+08 (12.5%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,qwen25-05b,ZeroShot,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%),BPI20PTC,Qwen2.5-0.5B
BPI20PrepaidTravelCosts,rnn,,143010.0,143010.0,100.0,100.0%,1.4e+05,1.4e+05 (100.0%),BPI20PTC,RNN
BPI20PrepaidTravelCosts,transformer,,535778.0,535778.0,100.0,100.0%,5.4e+05,5.4e+05 (100.0%),BPI20PTC,Transformer
